,sentiment,text
0,1,im good girl usually behave party
1,0,feeeel gooood ugh watch youtube video make laugh funnyyyyy
2,0,school finally amazing cause middle june cat attacked morning sleeping
3,1,cool brings money pay vodka
4,1,quite picture
5,1,landed new contract
6,1,lady went sam bradley last night dm yer email send pic
7,1,nafisa teehee prom
8,1,kitteh sleep ironing board computer open eye time stare
9,0,even triple strength coffee waking morning fb
10,0,bo meeting u akland nite city bund
11,0,bts fallin bts bts bts bts bts bts bts bts bts bts bts bts bts bts bts bts bts bts bts bts bts bts bts
12,1,pretty funny suggestion
13,0,poked eye mascara love mascara god sent
14,1,layyiiing eating whippped cream frm
15,0,pmt strike miserable party gave miss
16,0,tried looking setting connection twitter amp msn could send receive tweet game dead end
17,1,thanks follow
18,0,marmite sandwich usual difference cigarette desert
19,0,feeling gonna dealing migraine much longer want stupid weather
20,1,love shopping
21,1,feel good lay
22,1,fixing need move gna check new store legaspi anyone let meet tea
23,0,ye twitter doesnt really work unless give better phone deal ppl use
24,1,pointed one earlier great great song http blip fm qu
25,1,great walk nice
26,1,imagine trying put cat wm mean
27,0,gonna new transformer come colombia
28,0,wish open twitter cellphone
29,1,right think laptop beautiful model kind scary http ff im ymd
30,1,go back nz first went anywhere else get eventually haha
31,1,counter strike
32,0,inspirational convo uncle made wanna weep weep
33,1,yeah
34,0,sorry meanie head
35,1,bed mate catcha
36,0,hate da english department uni make waiting day
37,1,
38,0,bedtime take iana airport morning
39,0,gee medium test tomorrow
40,1,jogged forest nina heavy wind reminded need set turbine free electricity
41,1,thanks following guy
42,0,everything
43,0,worst dream ill got bombed crushed laughed bed
44,0,followees post way much amp stream amp mostly news link unfollow
45,1,college interview gotta go bbl tell ya go
46,1,hey almost mr twitter universe
47,0,go fun filled weekend pooped ahhhhhh back work
48,0,holy shit river cabin craziness get bttf yet
49,1,hey
50,1,thought live edge today
51,0,photo miss terribly http tumblr com xqxcxwl
52,0,brr cold finger feel frozen
53,1,download ticket arrived morning couple week till carnage commences
54,0,hate internet gah
55,0,aww tear might karma hope work
56,0,still wish could go aspen could make sad face bigger expressive would
57,0,great time never went mine either believe hoffman estate h located hoffman estate il
58,0,kiddo letting watch gonna check ot online head th temp job
59,0,kind rude awakening person love think ungrateful bitch
60,1,haz shiny new shoe http twitpic com vo
61,1,personally twittering cure
62,1,got facebook user name find facebook com karissaknutson
63,0,girl said ya store miss lady
64,0,bricked iphone trying upgrade
65,0,called mcdelivery jog hahahaha
66,1,love take class point look scholarship program
67,0,hot
68,1,dad singing brightens day
69,1,awww thank ditto big cyber hug
70,0,twitter messed suck bad way katie
71,1,wth skunk early nm
72,0,amazing day voice
73,0,hate people northern hemisphere summer holiday tho loser
74,0,yesterday heard kid say swear choicest language possible supermarket innocence lost probably
75,0,omg metropcs sponsoring concert work ahhh suckks
76,0,chelsea awake
77,1,hi john maybe like chart http www dubberly com concept map
78,0,ow ceiling low hit damn head
79,1,mmmkay gotta finish algebra hw goonight sweet dream darklings
80,0,math time
81,0,winter carnival tv promo end week
82,0,went beach today burned
83,1,yes would english mp editing publish soon
84,0,reply life complete hah
85,0,watching lost boy parent getting sad departure
86,1,goodnight world
87,0,know love forgive
88,1,followed link tweeted earlier http twurl nl ullh amp learned bouncer winner kid good mmwanted
89,1,zildjian cymbal drumstick seminar bob wiczling afternoon fx music
90,0,wow last night one best party night wish courage walk someone talk like nothing
91,1,go bye http plurk com p zex
92,1,going offline watch grey anatomy ever mention much love twitter thanks susiii
93,1,happy bday
94,0,leaving
95,1,skyburger somewhat cool
96,0,nothing twitter
97,0,morning boyf sick still sure going forster see family
98,0,site longer cant opened arrgghhhh
99,1,please help vote winner contest http tinyurl com noyb
100,0,doctor today maybe one get foot fixed
101,1,hov fan hate hov im ok lol
102,1,thank also
103,1,watch never really cared may lost alone
104,1,ewwww rock star sugar nope gimmie monster loca mocha mocha loca lol gotta love chocolate
105,1,knowing college pm tomorrow wonderful
106,0,unfollow people sorry one dash much http tumblr com xeuxi
107,1,sleep time picking college graduation cap gown tomorrow ah almost
108,0,need cut fingernail accidently scratched
109,0,dear california studio please hire artist sick new jersey
110,0,packing apt become internet le sad time
111,0,fed losing
112,1,im great mood mornin could guy tell
113,0,dooomed tuesday test
114,1,seriously bored dvd marathon watch x
115,1,encinitas ca houston tx dreaming cool temp http buyingtexashouses com amp county hawaii california florida etc
116,1,congrats dear live still choose listen miss
117,1,yes use vernacular feel like bit dick saying name
118,0,surgery today knee hurt ouch
119,0,day meeting
120,1,thought needle make feel woozy well done get flight booked august x
121,0,daisy scratched today
122,0,cleaned hospital bad pretty gross looking
123,0,weather channel app phone make even depressed seeing next week weather going get better
124,0,still sleep urgh
125,1,k last break day hoyt moved right
126,1,thank much sweet
127,1,sunshinee zoeeee
128,0,reason aint comp school wp co fell stair mornin big bump head
129,1,proud friend burned movie
130,0,gmail appears failing hard search twitter com saying definitely
131,1,really thought said never mind dear
132,1,meeting time yahooooo
133,0,sad mom wont go da computer like forerever da library
134,1,lsu whip razorback busy coaching paul yr old baseball team victoria spent time mom twin
135,0,weekend consist trying write research paper oooo much fun
136,1,nosely safari park leah
137,0,need boy could nt live day without aww miss one
138,0,bought oakley funny enough blue tooth
139,0,betseyjohnson necklace rather usual want http twitpic com ioi
140,0,trying get year old ipod sync itunes apparently disc cannot quot read written quot
141,0,birthday officially old today
142,0,following many cool people keep
143,0,rubiks cube suck non existant dick never able finish one
144,0,watching tv really bored happy school got summer school failed english
145,1,hahahaha ohh bria u could think know u like makeup definatley much haha jk
146,1,woke
147,0,omg ate much balinese food taste good dammit pain
148,0,tired still studying math test tomorrow guess another sleepless night story life
149,0,suck loopy sorry
150,0,awh sux cried dang day day kinda hurt
151,0,contraction think getting tense watchn darn transformer movie sheesh
152,1,pc say update install shuts tomorrow wake good night
153,1,haha think got
154,1,bed forever ago goodnight
155,0,
156,0,finally got letter suspension licence hoping forgotten
157,0,ack much pain
158,1,chillin ricky
159,1,spread pic well try great pic thnx sending
160,0,feeling great today body hurt bruise r starting show way see truck get thing scared
161,1,yeah baby homework wow smart girl xd love ya forget quot la push baby la push quot xd
162,0,wristband didnt come debit card though wooo
163,0,installed window update vista service pack lost audio pc window great
164,0,one day without internet yes tough
165,1,locked turnin lol ciroc lol would make birthday would give shoutout
166,1,haha love dougie haha specially dream haha
167,1,ok got knight
168,1,yay glad like
169,1,ohh la la la la switch turn want touch made love oh la la la la
170,0,feel right
171,0,hello jonny sad face
172,0,whoop look like wait
173,0,oh try cause seem tpm nyquil tonight bad
174,1,feeling sooooo happy today
175,0,make love metal bedtime music find razorblade romance
176,0,happy see jb london stupid parentals
177,0,weekend yay said clean garage uhm dont garage yeah fine clean damn garage
178,0,met lol middle name creepy fgs
179,0,really odd dream last night straange seems people going fest backing damn minival
180,0,think even denial watch
181,1,ooohhh hiking thrift store anything good
182,0,lastfm neighbor recommendation crappier ever adding anyone ever listened spanish song
183,1,going walk maybe another entry maybe work
184,1,landshark meant longboard
185,0,stilllll raining
186,0,miss boyf well hope get back soon frm singapre real soon spend time w
187,0,someone stole purse
188,1,dead tired yesterday still love
189,0,landed sleep exhausted
190,1,u pick random people follower recommend follower follow
191,0,job swag
192,0,saw snapping turtle run today think hurt though
193,1,hello woke dad
194,1,get follower day using www tweeteradder com add everyone train pay vip
195,0,hour left hour episode writing left really get
196,1,girl sending text yahoo old number dumb
197,0,fuck comcast updating demand whilst middle movie bastard
198,1,sure tell released
199,1,love quot tweeted quot love forever
200,0,ahh wish mcdonalds yesterday good skin
201,1,ooo cool found old eric clapton cd yay
202,0,feel bad cause girl feel good
203,0,thats exactly told sheeeiiittttt
204,0,bored lax missing sister
205,0,neither think site might
206,0,wow x men sucked guess surprised fanboys never happy franchise
207,0,lol sure sucky day offf boooo outside fixing sugar
208,1,went mudbowl tonight lot fun headed bartelsville morning wish u luck
209,1,cant wait till bigbrother
210,0,sitting phys therapy upset jon kate
211,0,yeaaah know wank wank wahhhh saw billion one twitter ago
212,1,imagine many fan waiting brazil could consider coming anytime soon
213,1,road mommy
214,1,try pure lemon juice fresh garlic amp ginger honey green tea sip work well cold amp flu
215,1,might paranoiddddddddddddd wait hear live x
216,0,ugh head hurt
217,1,voted beat lisa
218,0,good good cold something summer started yesterday
219,0,worst matron honor ever
220,0,missing boy
221,1,woo welcome cool kid club
222,1,morning sun whatever going
223,0,flush favvie fish r p fishie
224,0,sorry hear sideview mirror thing expensive replace
225,0,still waiting quot guess jk ing quot
226,1,dayam straight
227,1,tony ethan rape screen great
228,1,friday night great song
229,1,soz last night hon bb went blink posting reply think tried post time
230,0,heard u flu get well soon babyjayyy missin u like crazy
231,1,gonna watch boy flower wish would lotsa food
232,0,aww lame mine wont let upload vid siigh lol
233,1,quot jumped stream quot code something
234,1,oooo thanks go get today
235,1,hi friend
236,1,shadow fall quot love vinyl
237,1,great got rest tried anything play kid
238,0,seriously though doc recommended cals day hour exercise day week halved cals tripled exercise
239,1,cellular automaton visualization pretty work properly
240,1,watched way many jay z vids tube bed think
241,0,checked win
242,1,love guy back anytime
243,0,lol u get min u welcome want lg cookie think id love iphone cost way much
